代码,简称,行业,上市日期,选股理由,行业代码,CSMAR行业名称,分类日期
000001,平安银行,银行,1991-04-03,银行业代表,J66,货币金融服务,2025-12-31
600036,招商银行,银行,2002-04-09,股份制银行代表,J66,货币金融服务,2025-12-31
600519,贵州茅台,酒、饮料和精制茶制造业,2001-08-27,白酒龙头,C15,酒、饮料和精制茶制造业,2025-12-31
000858,五粮液,酒、饮料和精制茶制造业,1998-04-27,白酒行业对照,C15,酒、饮料和精制茶制造业,2025-12-31
000333,美的集团,电气机械和器材制造业,2013-09-18,家电制造代表,C38,电气机械和器材制造业,2025-12-31
002415,海康威视,计算机、通信和其他电子设备制造业,2010-05-28,电子设备代表,C39,计算机、通信和其他电子设备制造业,2025-12-31
600276,恒瑞医药,医药制造业,2000-10-18,医药制造代表,C27,医药制造业,2025-12-31
600011,华能国际,电力、热力生产和供应业,1994-10-05,公用事业代表,D44,电力、热力生产和供应业,2025-12-31
601888,中国中免,商务服务业,2009-10-15,消费服务代表,L72,商务服务业,2025-12-31
600104,上汽集团,汽车制造业,1997-11-25,汽车制造代表,C36,汽车制造业,2025-12-31
